bin_index,centre_angle_degrees,frequency_energy,energy_percentage
0,-170.0,500894924800.0,6.180857
1,-150.0,1452692602880.0,17.925686
2,-130.0,315888828416.0,3.897951
3,-110.0,308179042304.0,3.802815
4,-90.0,535598399488.0,6.609085
5,-70.0,240655122432.0,2.969595
6,-50.0,201801777152.0,2.490159
7,-30.0,247318183936.0,3.051814
8,-10.0,244702937088.0,3.019543
9,10.0,505243729920.0,6.23452
10,30.0,1452351815680.0,17.921481
11,50.0,315807694848.0,3.896949
12,70.0,308047151104.0,3.801187
13,90.0,535250960384.0,6.604798
14,110.0,240523182080.0,2.967967
15,130.0,201819897856.0,2.490382
16,150.0,247659036672.0,3.05602
17,170.0,244943126528.0,3.022507
