radius,normalised_radius,mean_power,median_power,pixel_count
0,0.0,702528673021952.0,702528673021952.0,1
1,0.001376,167115667537920.0,151391557386240.0,8
2,0.002751,13319956070400.0,4306314461184.0,16
3,0.004127,6057378709504.0,2332925624320.0,20
4,0.005502,2009066766336.0,1233924653056.0,24
5,0.006878,775973699584.0,643899064320.0,40
6,0.008253,381863460864.0,202274701312.0,36
7,0.009629,552444362752.0,375465213952.0,48
8,0.011004,543980945408.0,224248332288.0,56
9,0.01238,298791206912.0,221581344768.0,56
10,0.013755,200001601536.0,104594972672.0,68
11,0.015131,145538826240.0,57205596160.0,64
12,0.016506,124214140928.0,38043787264.0,80
13,0.017882,114936389632.0,28741257216.0,92
14,0.019257,86255828992.0,29975429120.0,88
15,0.020633,60817625088.0,23795554304.0,96
16,0.022008,43281674240.0,24239194112.0,96
17,0.023384,42889814016.0,24612835328.0,116
18,0.024759,40883367936.0,15593615360.0,120
19,0.026135,37855342592.0,12484942848.0,120
20,0.02751,30044473344.0,11402391552.0,124
21,0.028886,21166022656.0,7262929920.0,144
22,0.030261,18506588160.0,7303232512.0,136
23,0.031637,17466753024.0,7444808704.0,140
24,0.033012,15508052992.0,6833574400.0,152
25,0.034388,16474317824.0,5987221504.0,168
26,0.035763,13543860224.0,6315666432.0,176
27,0.037139,10799148032.0,4470516736.0,164
28,0.038514,9201037312.0,3492152832.0,168
29,0.03989,8926045184.0,3838482176.0,192
30,0.041265,8109985280.0,3565177344.0,188
31,0.042641,6503258112.0,3167405056.0,208
32,0.044017,6112452096.0,3054127360.0,200
33,0.045392,5354630656.0,2837210112.0,208
34,0.046768,6559162368.0,3101852672.0,228
35,0.048143,5606822912.0,2626234368.0,208
36,0.049519,3879247360.0,1856627584.0,232
37,0.050894,3186014208.0,1667126528.0,228
38,0.05227,3395936768.0,1986510208.0,256
39,0.053645,3181498112.0,1366344576.0,248
40,0.055021,3334392576.0,1318559744.0,236
41,0.056396,2868225024.0,1518120448.0,272
42,0.057772,2650485504.0,1425120000.0,264
43,0.059147,2272607744.0,1271417856.0,288
44,0.060523,2330662144.0,1307979264.0,276
45,0.061898,2391689216.0,1174685440.0,272
46,0.063274,2322447616.0,1205831936.0,296
47,0.064649,2171529472.0,931734144.0,292
48,0.066025,1776569216.0,768925184.0,312
49,0.0674,1719375104.0,764868288.0,304
50,0.068776,1638191744.0,768082432.0,336
51,0.070151,1616874240.0,727311360.0,324
52,0.071527,1388665984.0,733250304.0,312
53,0.072902,1472440704.0,655052288.0,344
54,0.074278,1373564928.0,574125888.0,324
55,0.075653,1202475648.0,490612128.0,376
56,0.077029,1227822720.0,544739840.0,344
57,0.078404,1136889728.0,452736992.0,360
58,0.07978,1234827136.0,601101568.0,364
59,0.081155,1299568000.0,774513152.0,368
60,0.082531,1051179904.0,501215008.0,392
61,0.083906,935025600.0,434983040.0,388
62,0.085282,844952960.0,413654016.0,392
63,0.086657,832014400.0,388550752.0,400
64,0.088033,847564224.0,305806336.0,388
65,0.089409,773472320.0,279552352.0,432
66,0.090784,806926400.0,407403616.0,400
67,0.09216,751636544.0,384436032.0,424
68,0.093535,661733952.0,247865408.0,452
69,0.094911,625846528.0,259512576.0,416
70,0.096286,582159424.0,238960672.0,448
71,0.097662,534960416.0,223370208.0,428
72,0.099037,443947904.0,178954208.0,480
73,0.100413,433660032.0,209226464.0,464
74,0.101788,486415904.0,218558016.0,464
75,0.103164,479531712.0,209832912.0,476
76,0.104539,494388224.0,207076192.0,480
77,0.105915,350320096.0,158950240.0,496
78,0.10729,314541280.0,155959744.0,476
79,0.108666,318195968.0,168526368.0,496
80,0.110041,371225216.0,141143648.0,520
81,0.111417,363665440.0,158091024.0,500
82,0.112792,325536128.0,145455648.0,536
83,0.114168,294834176.0,140005440.0,504
84,0.115543,283470176.0,143973280.0,536
85,0.116919,314644480.0,130880848.0,548
86,0.118294,293506336.0,126566816.0,544
87,0.11967,269368576.0,112021008.0,552
88,0.121045,243016080.0,124183352.0,524
89,0.122421,229998944.0,110586112.0,600
90,0.123796,242592160.0,127074000.0,552
91,0.125172,278187744.0,133294208.0,576
92,0.126547,272089056.0,124753360.0,580
93,0.127923,232220032.0,107407552.0,584
94,0.129298,200547536.0,94458568.0,608
95,0.130674,214966080.0,109043104.0,580
96,0.13205,212372160.0,101746432.0,600
97,0.133425,219143936.0,93461768.0,632
98,0.134801,190705008.0,81130504.0,608
99,0.136176,189442704.0,85568712.0,644
100,0.137552,192806832.0,76353600.0,608
101,0.138927,200011984.0,81318400.0,664
102,0.140303,182219712.0,71878720.0,644
103,0.141678,153240976.0,60864444.0,624
104,0.143054,151615952.0,58141336.0,672
105,0.144429,161282960.0,71034032.0,644
106,0.145805,163794208.0,63150280.0,696
107,0.14718,158639840.0,67133904.0,672
108,0.148556,158037392.0,71090720.0,664
109,0.149931,144011888.0,61438200.0,684
110,0.151307,137790416.0,50552752.0,688
111,0.152682,136026480.0,64485152.0,720
112,0.154058,135051936.0,68261824.0,700
113,0.155433,128598984.0,58893408.0,712
114,0.156809,137768832.0,62285764.0,744
115,0.158184,117142184.0,53938288.0,720
116,0.15956,114382336.0,53579372.0,716
117,0.160935,121912608.0,53380272.0,736
118,0.162311,110138088.0,46225480.0,752
119,0.163686,94197032.0,45803424.0,756
120,0.165062,95892504.0,46605736.0,752
121,0.166437,94828848.0,35685848.0,736
122,0.167813,95640912.0,41749576.0,772
123,0.169188,99372880.0,48325320.0,824
124,0.170564,87659288.0,39904064.0,752
125,0.171939,83572648.0,36072376.0,808
126,0.173315,85295216.0,37717700.0,756
127,0.174691,85791712.0,39136504.0,816
128,0.176066,73503400.0,36453016.0,824
129,0.177442,79224048.0,36209236.0,788
130,0.178817,76109896.0,35341840.0,840
131,0.180193,81489680.0,39743328.0,808
132,0.181568,77863776.0,33047394.0,864
133,0.182944,76247296.0,31939676.0,844
134,0.184319,75322912.0,33651080.0,800
135,0.185695,74436664.0,34304936.0,880
136,0.18707,72408008.0,32413090.0,852
137,0.188446,71686144.0,30639868.0,872
138,0.189821,70013816.0,30786554.0,864
139,0.191197,75002560.0,33068400.0,852
140,0.192572,73330256.0,31430362.0,912
141,0.193948,70169264.0,30444512.0,872
142,0.195323,70489768.0,28864240.0,896
143,0.196699,65220364.0,25945380.0,900
144,0.198074,62173544.0,22617596.0,912
145,0.19945,59322876.0,22627008.0,936
146,0.200825,55235404.0,21612764.0,908
147,0.202201,54687988.0,21645716.0,912
148,0.203576,63138588.0,24229712.0,952
149,0.204952,57782288.0,24337400.0,944
150,0.206327,52341872.0,22697988.0,948
151,0.207703,52690384.0,23555758.0,920
152,0.209078,51833488.0,22812308.0,976
153,0.210454,52155232.0,21666916.0,948
154,0.211829,50578180.0,20283664.0,1000
155,0.213205,51280436.0,20484908.0,960
156,0.21458,50946972.0,23461296.0,976
157,0.215956,47256560.0,20697116.0,1020
158,0.217331,46905848.0,19313004.0,960
159,0.218707,44646044.0,18516034.0,1000
160,0.220083,46339844.0,19362612.0,1004
161,0.221458,41503936.0,18649232.0,1056
162,0.222834,38021448.0,17228814.0,1024
163,0.224209,40564940.0,20393260.0,996
164,0.225585,36231360.0,16378310.0,1040
165,0.22696,38125140.0,15104175.0,1032
166,0.228336,37583144.0,17408260.0,1080
167,0.229711,36835688.0,18361220.0,1028
168,0.231087,33127070.0,15495322.0,1024
169,0.232462,34987732.0,14333132.0,1096
170,0.233838,33934012.0,15795107.0,1076
171,0.235213,32763380.0,14569817.0,1080
172,0.236589,33748852.0,16264762.0,1064
173,0.237964,31067938.0,14220081.0,1112
174,0.23934,27586800.0,12828763.0,1108
175,0.240715,30988064.0,13763722.0,1080
176,0.242091,31533712.0,14653196.0,1112
177,0.243466,32451792.0,14001413.0,1084
178,0.244842,29229992.0,12653144.0,1152
179,0.246217,29492558.0,14892728.0,1136
180,0.247593,31007050.0,14831138.0,1108
181,0.248968,29724398.0,12315200.0,1144
182,0.250344,31611028.0,11500362.0,1168
183,0.251719,27784038.0,9929816.0,1176
184,0.253095,25135382.0,10588090.0,1116
185,0.25447,26134202.0,11699760.0,1168
186,0.255846,27797818.0,11787170.0,1200
